TRX DATE,TRX NUMBER,SALES CHANNEL,CUSTOMER NUMBER,ORG Name,Type,Month,Year,ORG,ITEM CODE,FRANCHISE,ITEM DESC,FAMILY,CLASS,SUBCLASS,UIS TYPE,QUANTITY,Unit Price,Discount Amount,Discount Amount(%),Net Amount,Vat Amount,TOTAL AMOUNT
2023-07-24,2311043710,RECA,7233,,INV,JUL,2023,EAC,DWD76TDS,DORA,"Top and Bottom Loading Water Dispenser, black with SS DWD76TDS",SDA,WATER DISPENSER,FREE STANDING,0-Month,1,1042.61,-365.22,35.03,677.39,101.61,779.0
2023-07-24,2311043771,RECA,4207,,INV,JUL,2023,EAC,WWS36T22PI,WHITE WESTINGHOUSE,Indoor Split A/C 30600 BTU Cool,HVPAC,WALL SPLITS,SAC WALL ROTARY,0-Month,2,2760.43,-2133.9,38.65,3386.96,508.04,3895.0
2023-07-26,2311043933,RECA,7233,,INV,JUL,2023,EAC,WWCFAK550,WHITE WESTINGHOUSE,"CHEST FREEZER 18.4 CU FT, 230V 60HZ, R600A",HA,FREEZERS,CHEST FREEZERS,0-Month,1,2607.83,-260.87,10.0,2346.96,352.04,2699.0
2023-07-25,2321017193,RECO,7183,,INV,JUL,2023,TPC,VC-DR220ABF(G),TOSHIBA,"VAC CLNR DRUM, 22L, 2200W,S Steel Tube - Blck/Grey",SDA,VACCUM CLEANERS,DRUM,0-Month,1,564.35,-36.92,6.54,527.43,79.12,606.55
2023-07-25,2321017194,REEM,3064,,INV,JUL,2023,TPC,DW-14F1ME(W),TOSHIBA,Dish Washer FS 14 Place Settings 6 Prog White,HA,DISH WASHER,FREE STANDING,0-Month,1,1390.43,-86.95,6.25,1303.48,195.52,1499.0
2023-07-26,2321017231,RECA,7233,,INV,JUL,2023,TPC,AW-DK1775WUPBB(WK),TOSHIBA,"TL WASHER 15 KG,UFB WASH,SDD INVERTER,60HZ - WHITE/BLACK",HA,LAUNDRY A,FA TOP LOADING,0-Month,1,2433.91,-260.87,10.72,2173.04,325.95,2498.99
2023-07-28,2321017264,RECA,7233,,INV,JUL,2023,TPC,LTT7CBBWI,LG,Ref 1D 6.9 Cu. Ft / Pocket Handle / Inverter Compressor,HA,REFRIGERATORS,MINI BAR,0-Month,1,1434.0,0.0,0.0,1434.0,215.1,1649.1
2023-07-28,2311044059,REUI,7596,,INV,JUL,2023,EAC,R-75AS(S),SHARP,"25L GRILL MICROWAVE, STEEL, 220V/60HZ - Stainless Steel",SDA,MICROWAVE,BASIC,0-Month,1,520.87,-520.86,100.0,0.01,0.01,0.02
2023-07-28,2311044058,RECA,7233,,INV,JUL,2023,EAC,50SUE9520,SKYWORTH,"Skyworth 50"" QLED TV 4K UHD Smart (Google TV)",CE,LCD/LED TV,LED TV,0-Month,1,1303.0,0.0,0.0,1303.0,195.45,1498.45
2023-07-31,2311044224,RECA,4207,,INV,JUL,2023,EAC,DWD77TDP,DORA,"Top and Bottom Loading Water Dispenser, black with SS",SDA,WATER DISPENSER,FREE STANDING,0-Month,1,1042.61,-432.96,41.53,609.65,91.45,701.1
2023-07-30,2311044174,REEM,3029,,INV,JUL,2023,EAC,MQ9E3AH/A,APPLE MACINTOSH,iPhone 14 Pro Max 256GB Deep Purple,TELECOM,MOBILES,SMART PHONES,0-Month,1,5042.61,-434.78,8.62,4607.83,691.18,5299.01
2023-07-31,2311044203,RECA,7233,,INV,JUL,2023,EAC,EK-EJP5000AR,ELECTROLUX,"Citrus press 85W, Stainless Steel body, 0.8l capacity",SDA,LHA,CITRUS PRESS,0-Month,1,164.35,-83.03,50.52,81.32,12.2,93.52
2023-08-01,2318002414,RECA,7233,,CM,AUG,2023,EAC,50SUE9520,SKYWORTH,"Skyworth 50"" QLED TV 4K UHD Smart (Google TV)",CE,LCD/LED TV,LED TV,0-Month,-1,1303.0,0.0,0.0,-1303.0,-195.45,-1498.45
2023-08-02,2321018084,REEM,3064,,INV,AUG,2023,TPC,AW-DUK2217WUPBB(SS),TOSHIBA,"TL WASHER 15kg,GLASS LID,UFB WASH,SDD INVERTER,STAINLESS STL",HA,LAUNDRY A,FA TOP LOADING,0-Month,1,3651.3,-695.65,19.05,2955.65,443.35,3399.0
2023-08-02,2311048407,REUI,7596,,INV,AUG,2023,EAC,WWS18G22C,WHITE WESTINGHOUSE,Outdoor Split A/C 17800 BTU Cool,HVPAC,WALL SPLITS,SAC WALL ROTARY,0-Month,1,1130.0,0.0,0.0,1130.0,169.5,1299.5
2023-08-03,2311048503,RECA,7233,,INV,AUG,2023,EAC,PIPE V-30/36,WHITE WESTINGHOUSE,5 Meter copper pipe for 30K/36K Split AC,HVPAC,ACCESSORIES,PIPE,0-Month,1,0.01,0.0,0.0,0.01,0.01,0.02
2023-08-05,2311048578,RECA,7233,,INV,AUG,2023,EAC,WWS24G23WC,WHITE WESTINGHOUSE,Outdoor Split A/C 22100 BTU Cool WiFi,HVPAC,WALL SPLITS,SAC WALL ROTARY,0-Month,1,1303.91,0.0,0.0,1303.91,195.59,1499.5
2023-08-05,2311048559,REUI,7561,,INV,AUG,2023,EAC,WWS30T22PI,WHITE WESTINGHOUSE,Indoor Split A/C 27800 BTU Cool,HVPAC,WALL SPLITS,SAC WALL ROTARY,0-Month,1,2260.43,-739.13,32.7,1521.3,228.2,1749.5
2023-08-07,2311048751,RECA,7233,,INV,AUG,2023,EAC,PIPE V-30/36,WHITE WESTINGHOUSE,5 Meter copper pipe for 30K/36K Split AC,HVPAC,ACCESSORIES,PIPE,0-Month,1,0.01,0.0,0.0,0.01,0.01,0.02
2023-08-09,2318002470,REUI,7561,,CM,AUG,2023,EAC,PIPE V-30/36,WHITE WESTINGHOUSE,5 Meter copper pipe for 30K/36K Split AC,HVPAC,ACCESSORIES,PIPE,0-Month,-1,0.01,0.0,0.0,-0.01,-0.01,-0.02
2023-08-09,2311049442,RECA,7233,,INV,AUG,2023,EAC,WWS24G23WI,WHITE WESTINGHOUSE,Indoor Split A/C 22100 BTU Cool,HVPAC,WALL SPLITS,SAC WALL ROTARY,0-Month,2,1303.91,0.0,0.0,2607.82,391.18,2999.0
2023-08-09,2311049403,RECA,7233,,INV,AUG,2023,EAC,DWD60UBW,DORA,"Bottom Loading UV Lamp Sterilizer, White, SS Tank",SDA,WATER DISPENSER,FREE STANDING,0-Month,1,1042.61,-304.35,29.19,738.26,110.74,849.0
2023-08-10,2311049642,RECA,4207,,INV,AUG,2023,EAC,AH-A12WCS,SHARP,Indoor Split A/C 11600 BTU Cool HI-EER Class D R410A,HVPAC,WALL SPLITS,SAC WALL ROTARY,0-Month,1,1216.96,-453.49,37.26,763.47,114.52,877.99
2023-08-11,2311049661,REUI,7596,,INV,AUG,2023,EAC,55DYAC40,DORA,"55 Inch, UHD 4K, Android 11, Dolby Audio, 2.1 HDMI",CE,LCD/LED TV,LED TV,0-Month,1,1260.0,-130.43,10.35,1129.57,169.43,1299.0
2023-08-11,2321018765,REUI,7596,,INV,AUG,2023,TPC,TBA-36LMG5G089KS-SA,TOSHIBA,"Gas Cooker 90x60, 5 burner with Rotisserie & Convection - SS",HA,COOKING RANGE,GAS COOKER,0-Month,1,1999.13,0.0,0.0,1999.13,299.87,2299.0
2023-08-13,2311049940,RECA,4207,,INV,AUG,2023,EAC,DUF21KS,DORA,21 Cu Ft. SS Upright Freezer Inverter Compressor R600a,HA,FREEZERS,UPRIGHT FREEZER,0-Month,1,3042.61,-695.57,22.86,2347.04,352.06,2699.1
2023-08-15,2321019076,RECA,4207,,INV,AUG,2023,TPC,GR-RS780WI-PGU(22),TOSHIBA,"SBS 19.4 Cf-549L,Inverter,PBIO,Max Humid,Alloy Cool-Bk Glass",HA,REFRIGERATORS,SIDE BY SIDE,0-Month,2,3738.26,-1217.4,16.28,6259.12,938.87,7197.99
2023-08-19,2311050947,REUI,7561,,INV,AUG,2023,EAC,65SUE9500,SKYWORTH,"SKYWORTH  65"" QLED Google TV UHD 4K HDR SMART TV",CE,LCD/LED TV,LED TV,0-Month,1,2086.0,-260.79,12.5,1825.21,273.78,2098.99
2023-08-17,2311050842,RECA,4207,,INV,AUG,2023,EAC,DWD77TDP,DORA,"Top and Bottom Loading Water Dispenser, black with SS",SDA,WATER DISPENSER,FREE STANDING,0-Month,1,1042.61,-432.96,41.53,609.65,91.45,701.1
2023-08-17,2311050905,RECA,7233,,INV,AUG,2023,EAC,DS18T23WC,DORA,Outdoor Split A/C 18000 BTU Cool WiFi HI-EER Class D R410A.,HVPAC,WALL SPLITS,SAC WALL ROTARY,0-Month,1,977.83,-65.22,6.67,912.61,136.89,1049.5
2023-08-20,2321019721,RECA,7233,,INV,AUG,2023,TPC,MM-EG25PB(BK),TOSHIBA,"25L GRILL MICROWAVE, DIGITAL, STEEL, 220V, 60HZ - Black",SDA,MICROWAVE,GRILL,0-Month,1,433.91,0.0,0.0,433.91,65.09,499.0
2023-08-22,2321019868,RECA,7233,,INV,AUG,2023,TPC,VH-K110WBB,TOSHIBA,"TWIN TUB WASHER 10.0 KG, 220-230V 60HZ",HA,LAUNDRY TT,TWIN-TUB,0-Month,1,1477.39,-447.72,30.3,1029.67,154.45,1184.12
2023-08-23,2311051596,REUI,7596,,INV,AUG,2023,EAC,FS-5003,LOCAL,FujiStar HDMI Cable 3M,CE,OTHERS,OTHERS,0-Month,1,25.21,0.0,0.0,25.21,3.79,29.0
2023-08-26,2311051856,RECA,7233,,INV,AUG,2023,EAC,WWS36G22I,WHITE WESTINGHOUSE,Indoor Split A/C 32200 BTU Cool,HVPAC,WALL SPLITS,SAC WALL ROTARY,0-Month,1,2173.48,0.0,0.0,2173.48,326.03,2499.51
2023-08-26,2311051945,RECA,7233,,INV,AUG,2023,EAC,WWA20K22R,WHITE WESTINGHOUSE,Window A/C 18000 BTU Cool,HVPAC,WAC,WAC ROTARY,0-Month,1,1303.48,-0.01,0.0,1303.47,195.52,1498.99
2023-08-27,2311052592,RECA,7233,,INV,AUG,2023,EAC,WWFR21KS,WHITE WESTINGHOUSE,21 Cu Ft. SS Full Refrigerator Inverter Compressor R600a,HA,REFRIGERATORS,ALL REFRIGERATOR,0-Month,1,3216.52,-173.91,5.41,3042.61,456.39,3499.0
2023-08-28,2311052652,RECA,7233,,INV,AUG,2023,EAC,PIPE V-12/18,WHITE WESTINGHOUSE,4 Meter copper pipe for 12K/18K Split AC,HVPAC,ACCESSORIES,PIPE,0-Month,10,0.01,0.0,0.0,0.1,0.02,0.12
2023-08-28,2311052655,REEM,3029,,INV,AUG,2023,EAC,WWS30K23I,WHITE WESTINGHOUSE,Indoor split  A/C 27000 BTU Cool - WiFi,HVPAC,WALL SPLITS,SAC WALL ROTARY,0-Month,1,1738.7,-43.48,2.5,1695.22,254.28,1949.5
2023-08-29,2311052880,RECA,7233,,INV,AUG,2023,EAC,WWRAKS510,WHITE WESTINGHOUSE,"Fridge 17.9 CuFt, 230V 60HZ - R600a, Silver, Recessed Handle",HA,REFRIGERATORS,TOP MOUNT,0-Month,1,2346.96,-347.83,14.82,1999.13,299.87,2299.0
2023-08-30,2311053112,REUI,7561,,INV,AUG,2023,EAC,MPUD3AH/A,APPLE MACINTOSH,iPhone 14 128GB Midnight,TELECOM,MOBILES,SMART PHONES,0-Month,1,3607.83,-695.66,19.28,2912.17,436.83,3349.0
2023-08-31,2311053235,RECA,7233,,INV,AUG,2023,EAC,65SUE9600,SKYWORTH,"Skyworth 65"" 4K UHD MiniLED TV (Google TV) - 120Hz",CE,LCD/LED TV,LED TV,0-Month,1,3738.26,-1130.44,30.24,2607.82,391.17,2998.99
2023-09-05,2311054665,RECA,7233,,INV,SEP,2023,EAC,DN-COOLPURIFIER-TP09,DYSON,Dyson Cool Purifier White & Gold,SDA,AIR PURIFIER,PURIFYING FAN,0-Month,1,2694.78,0.0,0.0,2694.78,404.22,3099.0
2023-09-07,2321021824,RECA,7233,,INV,SEP,2023,TPC,OLED65A26LA,LG,"LG 4K OLED Smart TV 65"" SeriesA2, a7 Gen5 4K Proc, HGiG DV&A",CE,LCD/LED TV,LED TV,0-Month,1,5651.0,0.0,0.0,5651.0,847.65,6498.65
2023-09-10,2321021846,RECA,7233,,INV,SEP,2023,TPC,VH-K130WBB,TOSHIBA,"TWIN TUB WASHER 12.0 KG, 220-230V 60HZ",HA,LAUNDRY TT,TWIN-TUB,0-Month,1,1651.3,-434.77,26.33,1216.53,182.48,1399.01
2023-09-13,2311062278,REUI,7596,,INV,SEP,2023,EAC,WWS24K23C,WHITE WESTINGHOUSE,Outdoor split  A/C 23000 BTU Cool - WiFi,HVPAC,WALL SPLITS,SAC WALL ROTARY,0-Month,1,1260.43,-43.47,3.45,1216.96,182.54,1399.5
2023-09-14,2311062309,REUI,7561,,INV,SEP,2023,EAC,WWS24K23I,WHITE WESTINGHOUSE,Indoor split  A/C 23000 BTU Cool - WiFi,HVPAC,WALL SPLITS,SAC WALL ROTARY,0-Month,1,1260.43,-43.47,3.45,1216.96,182.54,1399.5
2023-09-13,2311062261,RECA,7233,,INV,SEP,2023,EAC,WWS36T22PI,WHITE WESTINGHOUSE,Indoor Split A/C 30600 BTU Cool,HVPAC,WALL SPLITS,SAC WALL ROTARY,0-Month,1,2760.43,-978.26,35.44,1782.17,267.33,2049.5
2023-09-20,2311063157,RECA,7233,,INV,SEP,2023,EAC,FA31-202GY,ELECTROLUX,Flow A3 - Air Purifier with Anti-bacterial HEPA & Touch UI,SDA,AIR PURIFIER,RESIDENTIAL,0-Month,1,651.3,-651.23,99.99,0.07,0.01,0.08
2023-09-20,2321023093,RECA,7233,,INV,SEP,2023,TPC,LS19GBBDI,LG,Ref SxS 17.9 Cu. Ft / Pocket Handle / Inverter Compressor,HA,REFRIGERATORS,SIDE BY SIDE,0-Month,1,3217.0,0.0,0.0,3217.0,482.55,3699.55
2023-09-21,2321023134,REUI,7596,,INV,SEP,2023,TPC,DFB425FW,LG,14 Place Setting/Steam/Wi-fi/Smart Rack/3rd Rack,HA,DISH WASHER,FREE STANDING,0-Month,1,2434.0,0.0,0.0,2434.0,365.1,2799.1
2023-09-23,2311063435,RECA,7233,,INV,SEP,2023,EAC,HW18CA23,HISENSE,Window A/C 18000 BTU Cool,HVPAC,WAC,WAC ROTARY,0-Month,1,1346.96,-43.48,3.23,1303.48,195.52,1499.0
2023-09-25,2321023351,REEM,3028,,INV,SEP,2023,TPC,WS1308XMT,LG,"WM FL Combo (13/7kg) with AI DD™ ,White color,ThinQ™ (Wi-Fi)",HA,LAUNDRY A,WASHER DRYER COMBO,0-Month,1,4086.0,0.0,0.0,4086.0,612.9,4698.9
